strategy,take_profit,stop_loss,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days,exposure_pct
3_inverse_vol,25%,10%,40.0765,18.9752,0.8808,24.527,39.0698,1.2562,430,2.1403,16.3,100.0
4_risk_parity,25%,10%,38.8075,18.4184,0.8647,26.1158,39.2435,1.2464,423,2.1807,16.52,100.0
2_low_spy_corr,30%,10%,35.4436,16.9301,0.8474,30.6629,35.8885,1.2614,287,1.8843,17.42,100.0
1_equal_weight,25%,10%,37.3608,17.7805,0.8464,27.3582,39.1705,1.2335,434,2.1868,16.26,100.0
2_low_spy_corr,25%,10%,30.5651,14.7396,0.7913,32.8566,37.5,1.2271,288,1.6026,15.62,100.0
2_low_spy_corr,35%,10%,31.3838,15.1099,0.7404,32.7871,34.1549,1.2288,284,1.628,18.77,100.0
6_max_decorrelation,35%,10%,29.1599,14.1012,0.7155,27.8455,35.396,1.1999,404,2.1615,19.6,100.0
5_min_variance,25%,10%,30.5011,14.7105,0.7085,28.7306,38.0328,1.1958,305,1.7004,17.3,100.0
3_inverse_vol,35%,10%,32.1978,15.3375,0.683,27.7081,36.3855,1.2211,415,2.4682,19.56,100.0
1_equal_weight,35%,10%,29.3607,14.0654,0.641,28.6429,36.5155,1.1943,419,2.5409,19.59,100.0
4_risk_parity,35%,10%,28.0685,13.6032,0.6226,28.1288,36.4532,1.1884,406,2.4722,19.69,100.0
6_max_decorrelation,30%,10%,22.0291,10.809,0.5837,30.7985,36.6093,1.1507,407,2.1487,18.31,100.0
3_inverse_vol,30%,10%,23.114,11.3158,0.5478,29.0819,37.381,1.1559,420,2.2975,18.09,100.0
1_equal_weight,30%,10%,17.0039,8.4326,0.4423,31.8741,37.4408,1.1116,422,2.3428,18.19,100.0
6_max_decorrelation,25%,10%,13.3732,6.6847,0.417,35.7202,38.1418,1.0917,409,1.8836,16.38,100.0
4_risk_parity,30%,10%,14.9694,7.4564,0.4077,29.5151,37.3464,1.1003,407,2.2474,18.26,100.0
5_min_variance,35%,10%,11.9617,5.9979,0.3508,27.7696,34.2657,1.0827,286,1.5616,20.44,100.0
5_min_variance,30%,10%,-4.258,-2.2183,0.0425,32.113,33.8078,0.9705,281,0.9959,19.28,100.0
