date,equity
2024-03-05,997753.9942574908
2024-03-06,1002744.009237516
2024-03-07,1016089.5484957707
2024-03-08,1010613.142163902
2024-03-11,1016157.1028501935
2024-03-12,982240.3133063595
2024-03-13,990900.7815433522
2024-03-14,954070.1475120848
2024-03-15,984838.90413982
2024-03-18,979988.5014922686
2024-03-19,941878.8383505979
2024-03-20,950782.5022635125
2024-03-21,965892.159536061
2024-03-22,959100.6951047634
2024-03-25,926908.7934105229
2024-03-26,919320.1875970373
2024-03-27,953867.4844488166
2024-03-28,960208.586517296
2024-04-01,958371.108076998
2024-04-02,916032.542348465
2024-04-03,922927.5901232106
2024-04-04,906782.0994161804
2024-04-05,895937.3737195197
2024-04-08,896455.2904367604
2024-04-09,904494.2586130642
2024-04-10,879688.2996690412
2024-04-11,896423.7650713632
2024-04-12,873036.4475702173
2024-04-15,855021.9530574917
2024-04-16,843069.3359482983
2024-04-17,833447.6537673748
2024-04-18,820387.1452456489
2024-04-19,819221.0647640283
2024-04-22,819221.0647640283
2024-04-23,822144.8188133964
2024-04-24,817848.1202687343
2024-04-25,811101.4860840089
2024-04-26,822365.8975155257
2024-04-29,838756.0717936251
2024-04-30,846836.9835292856
2024-05-01,906467.1590175265
2024-05-02,919424.7348221072
2024-05-03,909595.3465559934
2024-05-06,919036.5581011996
2024-05-07,897351.0773592497
2024-05-08,889799.7073669435
2024-05-09,899050.318821458
2024-05-10,907942.0728307951
2024-05-13,908783.6262657663
2024-05-14,925355.0397173465
2024-05-15,942206.9944394707
2024-05-16,964761.5046576351
2024-05-17,963162.4971400731
2024-05-20,985562.9246681959
2024-05-21,994562.5201599414
2024-05-22,1005815.5969278967
2024-05-23,1013875.8032432315
2024-05-24,991515.3171640346
2024-05-28,971926.4849987333
2024-05-29,960381.5539287559
2024-05-30,972129.535379945
2024-05-31,974548.3280131327
2024-06-03,1006149.5068914363
2024-06-04,995029.8204691096
2024-06-05,990746.5683607145
2024-06-06,979205.9605773105
2024-06-07,976361.2014205208
2024-06-10,976592.9129428645
2024-06-11,968785.8348150484
2024-06-12,977642.6094518206
2024-06-13,974750.5566899952
2024-06-14,962269.2655277159
2024-06-17,957913.7089356657
2024-06-18,953086.7283386309
2024-06-20,944574.4139729303
2024-06-21,968020.9584551447
2024-06-24,982740.1868719839
2024-06-25,968578.3257612619
2024-06-26,955297.0087390562
2024-06-27,958195.3660003452
2024-06-28,957569.4849158487
2024-07-01,949222.7578640789
2024-07-02,931858.1813973369
2024-07-03,926672.188552629
2024-07-05,929913.1747901515
2024-07-08,938619.957905661
2024-07-09,960353.3557731566
2024-07-10,949639.2847832199
2024-07-11,985774.2459589773
2024-07-12,1000371.0586649083
2024-07-15,995442.1301378651
2024-07-16,1012648.1488941537
2024-07-17,980449.2824947598
2024-07-18,965130.3399967342
2024-07-19,935062.4644409782
2024-07-22,939608.1281843135
2024-07-23,926399.6546691884
2024-07-24,921659.3887491296
2024-07-25,903912.2819451236
2024-07-26,920744.0398735509
2024-07-29,907044.0081536187
2024-07-30,887240.601804417
2024-07-31,899513.9541519035
2024-08-01,876755.4373631894
2024-08-02,845368.2723380127
2024-08-05,810368.9428351211
2024-08-06,826752.2723053969
2024-08-07,793192.4515729306
2024-08-08,820336.0168428266
2024-08-09,818802.6196131227
2024-08-12,825300.1401223892
2024-08-13,835343.8672827265
2024-08-14,822035.4239256766
2024-08-15,839168.6862999864
2024-08-16,839971.4478054278
2024-08-19,860931.6980334651
2024-08-20,855761.3774562408
2024-08-21,862157.9257999347
2024-08-22,851632.9906288135
2024-08-23,886846.4076047263
2024-08-26,923572.5570291696
2024-08-27,909940.8151091521
2024-08-28,904187.8464992843
2024-08-29,904236.5548351315
2024-08-30,901697.7099381185
2024-09-03,877534.5082527633
2024-09-04,870118.191576525
2024-09-05,870630.6770404198
2024-09-06,840759.802351305
2024-09-09,861378.241356854
2024-09-10,868514.830729168
2024-09-11,877787.0439192763
2024-09-12,899010.9424315416
2024-09-13,931222.5133368085
2024-09-16,909265.583850493
2024-09-17,914250.0113097978
2024-09-18,892804.7493191208
2024-09-19,900669.2682021252
2024-09-20,900264.2574056467
2024-09-23,878903.0146042382
2024-09-24,882252.3466927202
2024-09-25,867478.2781424136
2024-09-26,876458.7661497556
2024-09-27,879854.6123448166
2024-09-30,903964.9701048353
2024-10-01,907598.8252826668
2024-10-02,952969.5696422037
2024-10-03,939434.8816573558
2024-10-04,952359.378403598
2024-10-07,944264.2243931249
2024-10-08,949126.204051594
2024-10-09,938298.3399110958
2024-10-10,947983.2686118204
2024-10-11,966783.0570325818
2024-10-14,975033.3505292644
2024-10-15,988366.7333045444
2024-10-16,1030500.0480500762
2024-10-17,1048684.7328766843
2024-10-18,1054844.7124572396
2024-10-21,1053056.9594383189
2024-10-22,1050936.307705599
2024-10-23,1053137.947538349
2024-10-24,1044148.8547950055
2024-10-25,1018680.0572392928
2024-10-28,1054468.9633029876
2024-10-29,1027950.3127024673
2024-10-30,1038709.4009509668
2024-10-31,1032263.274025476
2024-11-01,1079162.4634879702
2024-11-04,1092321.7291627391
2024-11-05,1112851.711710874
2024-11-06,1144001.8288084096
2024-11-07,1156671.993378589
2024-11-08,1156671.85525685
2024-11-11,1157200.0904399138
2024-11-12,1143748.6876898862
2024-11-13,1115001.1585984789
2024-11-14,1076949.4723293453
2024-11-15,1051055.9929612044
2024-11-18,1042372.5261610022
2024-11-19,1062667.8026980355
2024-11-20,1066138.2042130888
2024-11-21,1067925.9146485473
2024-11-22,1082944.8995669666
2024-11-25,1101904.5258954866
2024-11-26,1121584.7783560767
2024-11-27,1147612.3829756991
2024-11-29,1146349.2307489864
2024-12-02,1145290.7176450712
2024-12-03,1119857.8301994093
2024-12-04,1131463.0382870724
2024-12-05,1110052.371871884
2024-12-06,1117068.2216628527
2024-12-09,1117495.9582213787
2024-12-10,1106266.9612640103
2024-12-11,1086642.4137929194
2024-12-12,1068197.405926202
2024-12-13,1063540.6169653651
2024-12-16,1056829.126007984
2024-12-17,1035506.5483908021
2024-12-18,987916.9137828185
2024-12-19,991829.1517290856
2024-12-20,990106.8844370266
2024-12-23,982063.1248503025
2024-12-24,969369.268086386
2024-12-26,982285.6331143302
2024-12-27,978635.4830732968
2024-12-30,958627.6460502655
2024-12-31,941723.3613783657
2025-01-02,968194.3657069502
2025-01-03,999600.9951188617
2025-01-06,1034228.2648099707
2025-01-07,1023958.7115063567
2025-01-08,998012.6829162303
2025-01-10,966958.439273396
2025-01-13,966124.1839205143
2025-01-14,959906.5229970375
2025-01-15,978243.9902545746
2025-01-16,969052.0573363274
2025-01-17,988757.5180801463
2025-01-21,1015036.0811084596
2025-01-22,1014218.8791977109
2025-01-23,1027799.6178439608
2025-01-24,1021748.0760508796
2025-01-27,1006857.7869387732
2025-01-28,1003975.3034519511
2025-01-29,994141.3249350755
2025-01-30,1009918.9220938191
2025-01-31,983091.1061320638
