date,equity
2024-03-05,995457.6316631839
2024-03-06,997388.9107179526
2024-03-07,1006911.0300696372
2024-03-08,1007552.095588281
2024-03-11,1010802.0043306302
2024-03-12,979179.2667307383
2024-03-13,988604.4189490452
2024-03-14,962479.3606561746
2024-03-15,981013.173582885
2024-03-18,976927.4549166476
2024-03-19,943405.8956628612
2024-03-20,951544.8755944617
2024-03-21,955184.2731472994
2024-03-22,951451.5446412581
2024-03-25,937612.0584985549
2024-03-26,933846.8725916395
2024-03-27,950806.4378731956
2024-03-28,954088.8040164189
2024-04-01,955310.061501377
2024-04-02,922744.9287591822
2024-04-03,927475.3988497667
2024-04-04,915241.888442997
2024-04-05,907624.9920548665
2024-04-08,911812.2543095382
2024-04-09,916053.6974312279
2024-04-10,894293.5269864829
2024-04-11,905170.4690578546
2024-04-12,888742.9919444039
2024-04-15,870637.8654498316
2024-04-16,856868.6873993303
2024-04-17,849041.5783891405
2024-04-18,839938.3964707428
2024-04-19,839842.1806295381
2024-04-22,846888.5309570367
2024-04-23,862452.0277641845
2024-04-24,860084.5267972919
2024-04-25,858475.7394612599
2024-04-26,867811.9232275587
2024-04-29,885311.2583190663
2024-04-30,890705.8558358275
2024-05-01,946255.7254587223
2024-05-02,967178.7904712573
2024-05-03,965288.4204082933
2024-05-06,954242.7717126161
2024-05-07,940918.7791121971
2024-05-08,918082.2365727435
2024-05-09,935385.207548776
2024-05-10,931510.5216314808
2024-05-13,925390.38669513
2024-05-14,947910.0757667233
2024-05-15,975409.6237592315
2024-05-16,990439.9582609292
2024-05-17,984992.4024517981
2024-05-20,995838.7469039154
2024-05-21,1010203.831025504
2024-05-22,1015055.5116085752
2024-05-23,994633.0677095515
2024-05-24,974252.0875831156
2024-05-28,1041871.0349342857
2024-05-29,1026464.0949479176
2024-05-30,1034766.5199979496
2024-05-31,1040030.4400496306
2024-06-03,1048465.9813453257
2024-06-04,1043163.2769372407
2024-06-05,1043736.7035290692
2024-06-06,1029626.8662044341
2024-06-07,1022425.7355980164
2024-06-10,1025632.900024289
2024-06-11,1017883.3605007248
2024-06-12,1020012.9780019384
2024-06-13,1016191.4937165794
2024-06-14,991674.1318319372
2024-06-17,967833.6437383157
2024-06-18,949406.4217314268
2024-06-20,951811.8769508721
2024-06-21,981205.4501298965
2024-06-24,989289.5737985459
2024-06-25,979229.4699445519
2024-06-26,956333.1873735315
2024-06-27,965161.4758200065
2024-06-28,966984.3260745078
2024-07-01,958902.1059221115
2024-07-02,933683.4271325549
2024-07-03,926918.8998714274
2024-07-05,928317.8223005055
2024-07-08,938521.9427328352
2024-07-09,949666.318800632
2024-07-10,949735.118383809
2024-07-11,993320.5211303629
2024-07-12,1020485.8293115163
2024-07-15,1024230.6268161208
2024-07-16,1042016.2915318614
2024-07-17,1015350.7027699798
2024-07-18,989838.7971167867
2024-07-19,972189.4111092007
2024-07-22,983238.231543712
2024-07-23,985693.5064005647
2024-07-24,976422.4379921247
2024-07-25,981048.0267144793
2024-07-26,998026.7697025664
2024-07-29,981746.1429641631
2024-07-30,965450.7952437326
2024-07-31,977204.3271220628
2024-08-01,944877.7239048717
2024-08-02,952096.6174317643
2024-08-05,922117.0514900923
2024-08-06,951849.5205975253
2024-08-07,889216.8873393355
2024-08-08,917760.0999727243
2024-08-09,926359.443800452
2024-08-12,931909.1048898404
2024-08-13,968899.4814680427
2024-08-14,964691.198452325
2024-08-15,993196.6747902547
2024-08-16,1002182.6896081639
2024-08-19,1030239.0877958195
2024-08-20,1015372.3648921833
2024-08-21,1023184.788036976
2024-08-22,1015562.0325111933
2024-08-23,1045314.4691360764
2024-08-26,1067449.592351676
2024-08-27,1060623.6779093067
2024-08-28,1048549.6616853937
2024-08-29,1056613.4542936578
2024-08-30,1053514.8418013612
2024-09-03,1027408.8010240042
2024-09-04,1023106.3004834998
2024-09-05,1020802.6219591757
2024-09-06,1003726.173174769
2024-09-09,1018031.9277082562
2024-09-10,1024104.1501200596
2024-09-11,1028330.676870105
2024-09-12,1049091.8712604882
2024-09-13,1070579.0179421226
2024-09-16,1057878.194852358
2024-09-17,1055812.0028161574
2024-09-18,1044055.4305801097
2024-09-19,1043367.8917945474
2024-09-20,1034818.0813603097
2024-09-23,1018163.461673283
2024-09-24,1009766.1329556393
2024-09-25,988620.5535652228
2024-09-26,989039.3585752398
2024-09-27,989230.1510902517
2024-09-30,987590.7050460298
2024-10-01,988464.4662362305
2024-10-02,1001547.4066952557
2024-10-03,984040.2406955992
2024-10-04,1000389.4107418328
2024-10-07,986191.4313679615
2024-10-08,994564.2419295966
2024-10-09,987409.6844042493
2024-10-10,987716.2285959469
2024-10-11,1012476.5531448503
2024-10-14,1022259.6422321066
2024-10-15,1032728.7028790662
2024-10-16,1068735.4965695417
2024-10-17,1065755.3742511487
2024-10-18,1083174.6678309073
2024-10-21,1072802.7062411504
2024-10-22,1059141.0760371482
2024-10-23,1048474.2628195354
2024-10-24,1047085.9179951154
2024-10-25,1023827.428452302
2024-10-28,1025950.1875728208
2024-10-29,1016245.478945763
2024-10-30,998051.8690740939
2024-10-31,1012944.0030052502
2024-11-01,1019520.4352148608
2024-11-04,1034853.3176501282
2024-11-05,1047461.3695152573
2024-11-06,1070143.3310053472
2024-11-07,1064084.3288880098
2024-11-08,1058857.848709055
2024-11-11,1064269.7196330142
2024-11-12,1037235.1307448159
2024-11-13,1011711.4170875471
2024-11-14,975066.9557610401
2024-11-15,952428.0131508724
2024-11-18,947249.4554512707
2024-11-19,961294.6260014633
2024-11-20,974748.2959061458
2024-11-21,976932.0321930797
2024-11-22,992062.608675705
2024-11-25,1016619.8486056265
2024-11-26,1023217.9300274309
2024-11-27,1048074.3471868383
2024-11-29,1049221.7786544242
2024-12-02,1050165.548410163
2024-12-03,1029946.4174708864
2024-12-04,1034532.8093400087
2024-12-05,1019636.8995939404
2024-12-06,1031654.1479702371
2024-12-09,1029189.0048844842
2024-12-10,1018986.622975899
2024-12-11,1002017.6923324094
2024-12-12,983060.7450403705
2024-12-13,975231.0266490064
2024-12-16,979541.1421186626
2024-12-17,971805.6109651811
2024-12-18,925508.1921950923
2024-12-19,922383.837628582
2024-12-20,916307.5405206047
2024-12-23,915621.9522408674
2024-12-24,912412.1742743092
2024-12-26,935034.9387589402
2024-12-27,910703.4503062516
2024-12-30,885003.9471522139
2024-12-31,878847.7098311048
2025-01-02,879233.9148926707
2025-01-03,920496.7509049012
2025-01-06,944809.003968038
2025-01-07,943626.8450491389
2025-01-08,926594.560043001
2025-01-10,888923.3539474459
2025-01-13,886235.1653059957
2025-01-14,878686.3561931169
2025-01-15,901997.1672341723
2025-01-16,884485.1146956084
2025-01-17,897163.6809140617
2025-01-21,919450.7051908346
2025-01-22,921515.2796006997
2025-01-23,932502.5242523893
2025-01-24,921035.7760235849
2025-01-27,908298.4182828674
2025-01-28,896834.8084944716
2025-01-29,895274.6881264731
2025-01-30,904291.8353667958
2025-01-31,890753.0166331665
2025-02-03,856213.5102120681
2025-02-04,874951.9151942191
2025-02-05,909781.5490146691
2025-02-06,902851.6259597953
2025-02-07,880935.6082375137
2025-02-10,863825.4362980939
2025-02-11,850327.5325431622
2025-02-12,864636.041850654
2025-02-13,882350.2198497782
2025-02-14,893685.172300243
2025-02-18,917575.8451494123
2025-02-19,924613.8205187008
2025-02-20,924800.3801907217
2025-02-21,918428.151489407
2025-02-24,894172.1122691132
2025-02-25,887447.4359583611
2025-02-26,942342.8435142904
2025-02-27,932320.6848508158
2025-02-28,930216.5059349735
2025-03-03,896779.4418263796
2025-03-04,919332.8061044645
2025-03-05,947670.5652352875
2025-03-06,943775.4326698798
2025-03-07,951980.4518972032
2025-03-10,930272.1214950725
2025-03-11,953044.0956380222
2025-03-12,951675.864093709
2025-03-13,930023.8353024349
2025-03-14,944017.7347565491
2025-03-17,949917.1492292231
2025-03-18,916539.4478537187
2025-03-19,931440.3794328158
2025-03-20,930189.5485469206
2025-03-21,920358.5096248459
2025-03-24,926766.3838173017
2025-03-25,902554.6936661463
2025-03-26,871765.3233947724
2025-03-27,874257.8551235123
2025-03-28,860867.6576517861
2025-03-31,825310.4811301627
2025-04-01,789712.2183914031
2025-04-02,813229.553693512
2025-04-03,727018.9066807177
2025-04-04,691276.9470203307
2025-04-07,668762.7612853342
2025-04-08,633643.0224217013
2025-04-09,677268.6385729536
2025-04-10,641081.7101403197
2025-04-11,681887.6342376947
2025-04-14,700433.817209205
2025-04-15,705340.8380918984
2025-04-16,696378.6451164875
2025-04-17,701697.4692669855
2025-04-21,703518.1974898244
2025-04-22,728917.4674347056
2025-04-23,743853.6965218604
2025-04-24,753932.9701137042
2025-04-25,746571.3312834027
2025-04-28,746422.2221433541
2025-04-29,740614.2799320843
2025-04-30,740961.0579448415
2025-05-01,725741.2389904163
2025-05-02,733110.1951326461
2025-05-05,707026.7752025451
2025-05-06,683363.6138545845
2025-05-07,677721.6710367121
2025-05-08,691974.0629570435
2025-05-09,702147.9788842136
2025-05-12,725903.2068573481
2025-05-13,717218.25400562
2025-05-14,708972.0855049512
2025-05-15,721778.608182807
2025-05-16,745742.4743977494
2025-05-19,768712.6391835778
2025-05-20,775494.2031477487
2025-05-21,764079.8057710568
2025-05-22,768766.7117989543
2025-05-23,764208.1317049783
2025-05-27,761753.1318183525
2025-05-28,777227.015868442
2025-05-29,796086.5417033462
2025-05-30,792698.0978932157
2025-06-02,822516.7914765129
2025-06-03,851461.5823294243
2025-06-04,866010.2397324273
2025-06-05,866365.7474066034
2025-06-06,877259.9378499647
2025-06-09,872806.2735500034
2025-06-10,880848.6239608997
2025-06-11,870207.2268398248
2025-06-12,863484.9353830442
2025-06-13,844250.1687016595
2025-06-16,855698.5880372445
2025-06-17,842469.7656315026
2025-06-18,839218.6762376316
2025-06-20,831291.7366075205
2025-06-23,830787.5750606499
2025-06-24,849227.3063356408
2025-06-25,840562.3184915762
2025-06-26,836561.610946734
2025-06-27,820948.2355031301
2025-06-30,819638.6952759299
2025-07-01,808359.0198571581
2025-07-02,830982.0719945858
2025-07-03,831828.3331165512
2025-07-07,815185.248165567
2025-07-08,832415.7082582405
2025-07-09,874165.721663086
2025-07-10,882368.4482526678
2025-07-11,860870.5767622559
2025-07-14,871357.0454604783
2025-07-15,846791.3217250895
2025-07-16,870432.6789768871
2025-07-17,890757.4057445924
2025-07-18,869346.2232229459
2025-07-21,869994.3916693651
2025-07-22,882666.7600606515
2025-07-23,913907.6337215898
2025-07-24,910537.8076547425
2025-07-25,899958.6565289588
2025-07-28,893725.7993040446
2025-07-29,864537.5605584362
2025-07-30,868135.1723659427
2025-07-31,844790.4266852929
2025-08-01,834297.6712122499
2025-08-04,854636.1632975487
2025-08-05,858194.1897484893
2025-08-06,824088.3824849945
2025-08-07,799299.9241367187
2025-08-08,800290.2224668046
2025-08-11,798582.9073630357
2025-08-12,817093.6290294728
2025-08-13,840741.6646522076
2025-08-14,842193.4080406803
2025-08-15,867076.5397590708
2025-08-18,873829.3232632916
2025-08-19,849738.5234477236
2025-08-20,851035.2944287569
2025-08-21,859743.1611130126
2025-08-22,894202.6875155359
2025-08-25,875022.8467466199
2025-08-26,877490.1777337322
2025-08-27,888976.1385703215
2025-08-28,881221.1141818226
2025-08-29,876113.648437458
2025-09-02,882845.8188712765
2025-09-03,893191.8363178988
2025-09-04,887501.5545379673
2025-09-05,911650.4903766892
2025-09-08,908542.201466748
2025-09-09,908057.3827474082
2025-09-10,896957.3603658589
2025-09-11,912544.3616308138
2025-09-12,894259.7472597447
2025-09-15,875859.0035629042
2025-09-16,884199.5039618281
2025-09-17,878072.6272512677
2025-09-18,906332.7375255219
2025-09-19,903510.3623618003
2025-09-22,920011.1943787257
2025-09-23,915284.440109565
2025-09-24,924297.4520339023
2025-09-25,910490.4171237241
2025-09-26,926536.458686509
2025-09-29,924513.4486847537
2025-09-30,939777.641667933
2025-10-01,946342.4526446101
2025-10-02,961895.1223376109
2025-10-03,991424.606036184
2025-10-06,999649.7161231821
2025-10-07,996313.8272671307
2025-10-08,1033995.188703877
2025-10-09,1045851.3888811357
2025-10-10,1004204.6619462811
2025-10-13,1006561.5233820431
2025-10-14,1023214.7325552602
2025-10-15,1066503.0415242165
2025-10-16,1047326.2176885604
2025-10-17,1027024.2941932176
2025-10-20,1054156.9967240766
2025-10-21,1367105.3437618846
2025-10-22,1348517.1892372405
2025-10-23,1341914.1349749619
2025-10-24,1352659.457078248
2025-10-27,1374740.2043724002
2025-10-28,1372448.366177763
2025-10-29,1352456.2029504068
2025-10-30,1331809.7404929549
2025-10-31,1332891.8137319558
2025-11-03,1312117.624587919
2025-11-04,1274577.2553638846
2025-11-05,1293700.2450094058
2025-11-06,1270609.5067912177
2025-11-07,1273816.9509786358
2025-11-10,1292603.4541175538
2025-11-11,1313945.7371141699
2025-11-12,1311875.9281596537
2025-11-13,1267573.2823477006
2025-11-14,1280612.2491471835
2025-11-17,1308252.081988311
2025-11-18,1352322.79165832
2025-11-19,1354335.98506982
2025-11-20,1340796.878067919
2025-11-21,1379149.832005787
2025-11-24,1428346.2330431961
2025-11-25,1456158.1657916242
2025-11-26,1469062.415686061
2025-11-28,1484476.4734138227
2025-12-01,1430837.8920675626
2025-12-02,1383189.9596505323
2025-12-03,1427307.1255399818
2025-12-04,1464852.54011899
2025-12-05,1453648.7570893348
2025-12-08,1484126.0468696535
2025-12-09,1472888.3521919171
2025-12-10,1492012.2606463172
2025-12-11,1497156.4042599294
2025-12-12,1484766.3833194354
2025-12-15,1470533.686013124
2025-12-16,1456851.012288381
2025-12-17,1426159.4381669394
2025-12-18,1419238.5271214826
2025-12-19,1427404.605753022
2025-12-22,1444269.8680632093
2025-12-23,1437661.5425923998
2025-12-24,1459710.245558176
2025-12-26,1453523.2018643725
2025-12-29,1444206.5591885985
2025-12-30,1422152.411061638
2025-12-31,1431815.8142089671
2026-01-02,1420528.46577727
2026-01-05,1458128.6402960957
2026-01-06,1475239.5955654625
2026-01-07,1530418.602307333
2026-01-08,1518230.8814490277
2026-01-09,1522266.733576785
2026-01-12,1524773.0120932849
2026-01-13,1525533.46565939
2026-01-14,1551454.5994692526
2026-01-15,1525075.0334992134
2026-01-16,1530354.566089516
2026-01-20,1534307.161973299
2026-01-21,1547442.3987373062
2026-01-22,1571541.46235875
2026-01-23,1569015.2179232985
2026-01-26,1563336.5209378018
2026-01-27,1555093.360825605
2026-01-28,1545829.3908435341
2026-01-29,1544518.8104209632
2026-01-30,1532681.7821313704
2026-02-02,1533408.2416504046
2026-02-03,1515473.9054150241
2026-02-04,1514022.697727995
2026-02-05,1499208.0506968654
2026-02-06,1519111.9873453293
2026-02-09,1520571.3540856687
2026-02-10,1534125.026150631
2026-02-11,1537499.3572022715
2026-02-12,1538295.8846614752
2026-02-13,1536097.0051425989
2026-02-17,1541322.0272516338
2026-02-18,1541013.3104986637
2026-02-19,1541765.8075840287
2026-02-20,1542238.5301120142
2026-02-23,1542749.8422341212
2026-02-24,1543261.1736510252
2026-02-25,1543261.1736510252
2026-02-26,1543261.1736510252
2026-02-27,1543261.1736510252
2026-03-02,1543261.1736510252
2026-03-03,1543261.1736510252
2026-03-04,1543261.1736510252
2026-03-05,1543261.1736510252
2026-03-06,1543261.1736510252
2026-03-09,1543261.1736510252
2026-03-10,1543261.1736510252
2026-03-11,1543261.1736510252
2026-03-12,1543261.1736510252
2026-03-13,1543261.1736510252
2026-03-16,1543261.1736510252
2026-03-17,1543261.1736510252
2026-03-18,1543261.1736510252
2026-03-19,1543261.1736510252
