date,equity
2024-03-05,997753.9942574908
2024-03-06,1002744.009237516
2024-03-07,1016089.5484957707
2024-03-08,1010613.142163902
2024-03-11,1016157.1028501935
2024-03-12,982240.3133063595
2024-03-13,990900.7815433522
2024-03-14,954070.1475120848
2024-03-15,984838.90413982
2024-03-18,979988.5014922686
2024-03-19,935151.9943080747
2024-03-20,936399.4980530809
2024-03-21,955112.0542281745
2024-03-22,950122.0392481495
2024-03-25,920181.9493679997
2024-03-26,913944.4306429685
2024-03-27,942637.0167781122
2024-03-28,947627.031758137
2024-04-01,942637.0167781122
2024-04-02,915413.5358612
2024-04-03,944456.0229174925
2024-04-04,955523.6876542128
2024-04-05,983575.4410967715
2024-04-08,947230.9511444243
2024-04-09,958528.4650337105
2024-04-10,951008.452471558
2024-04-11,1011588.4340741559
2024-04-12,1015540.8858618638
2024-04-15,997830.9027869722
2024-04-16,1002925.8880433419
2024-04-17,990668.1991070358
2024-04-18,957778.2305393796
2024-04-19,965292.323358298
2024-04-22,971693.2172410804
2024-04-23,975907.2700573334
2024-04-24,971610.5715126713
2024-04-25,980018.6228448891
2024-04-26,981163.0439478962
2024-04-29,962133.2520762122
2024-04-30,966095.7773524717
2024-05-01,1011691.4704759168
2024-05-02,1057363.5313749458
2024-05-03,1027415.8189980431
2024-05-06,1010229.614170129
2024-05-07,998125.2870023306
2024-05-08,992982.2580459217
2024-05-09,977471.736173267
2024-05-10,981992.509530347
2024-05-13,979515.4615857021
2024-05-14,988866.7558671901
2024-05-15,989260.241205497
2024-05-16,1011814.7514236615
2024-05-17,1010215.7439060992
2024-05-20,1032616.1714342223
2024-05-21,1041615.7669259676
2024-05-22,1052868.843693923
2024-05-23,1060929.0500092576
2024-05-24,1038568.5639300607
2024-05-28,1018897.8476784686
2024-05-29,1008461.8965471687
2024-05-30,1018827.6087377333
2024-05-31,1021816.621568638
2024-06-03,1051739.225751176
2024-06-04,1038115.9430966408
2024-06-05,1032660.989228412
2024-06-06,1014220.5864282411
2024-06-07,1006963.7549632763
2024-06-10,1009992.0225800169
2024-06-11,997433.9664692351
2024-06-12,1007678.8223578836
2024-06-13,997181.0073136468
2024-06-14,970739.4967674108
2024-06-17,957131.8154796937
2024-06-18,950380.1888373819
2024-06-20,949649.2662134529
2024-06-21,965084.1563020584
2024-06-24,972127.3894722563
2024-06-25,948241.3980757056
2024-06-26,938912.2660080311
2024-06-27,943282.0756367267
2024-06-28,942822.1963349658
2024-07-01,929689.1365340108
2024-07-02,921367.9980741031
2024-07-03,916636.0929953185
2024-07-05,918272.6280714112
2024-07-08,922160.4885773489
2024-07-09,931449.5514745492
2024-07-10,917190.4141939679
2024-07-11,939215.8733029837
2024-07-12,952070.6408184663
2024-07-15,943788.8422735218
2024-07-16,952650.8855845224
2024-07-17,925527.1051968903
2024-07-18,924267.0962003727
2024-07-19,894800.4750440934
2024-07-22,896045.8919521765
2024-07-23,884422.7078919183
2024-07-24,885099.5405799567
2024-07-25,890396.1252066816
2024-07-26,907339.9401321776
2024-07-29,894655.8718541182
2024-07-30,875320.9992140612
2024-07-31,887737.8888383392
2024-08-01,867237.9381834203
2024-08-02,839482.5721025505
2024-08-05,822047.6365067209
2024-08-06,829835.1075107234
2024-08-07,824101.7612400245
2024-08-08,826022.7985986496
2024-08-09,825845.9212648206
2024-08-12,828682.8285949939
2024-08-13,829628.4643717183
2024-08-14,830248.3937887333
2024-08-15,836154.2311744827
2024-08-16,836915.4015995095
2024-08-19,847019.1607328973
2024-08-20,837364.7988130997
2024-08-21,841472.9692575082
2024-08-22,835028.3046981869
2024-08-23,869569.5517888055
2024-08-26,902187.9664194097
2024-08-27,890959.4789438403
2024-08-28,887910.0263638711
2024-08-29,888581.2724681048
2024-08-30,883189.2390722589
2024-09-03,863529.6588635326
2024-09-04,857169.6705736388
2024-09-05,855825.3685777087
2024-09-06,826693.423969098
2024-09-09,845939.1969581799
2024-09-10,851410.4072655197
2024-09-11,857713.4782670161
2024-09-12,885379.5813467775
2024-09-13,911652.9346595646
2024-09-16,892520.6784665086
2024-09-17,896497.0067853497
2024-09-18,875426.9092686761
2024-09-19,886099.6038774771
2024-09-20,881728.4719199768
2024-09-23,861302.7008301443
2024-09-24,855818.7004722105
2024-09-25,836484.4956561443
2024-09-26,839474.7708172803
2024-09-27,839097.0394910255
2024-09-30,840765.9311537601
2024-10-01,846007.9726382913
2024-10-02,865625.9265548163
2024-10-03,858611.8768559619
2024-10-04,864724.4668802265
2024-10-07,860344.4288117508
2024-10-08,863629.647864046
2024-10-09,854385.1362104474
2024-10-10,860857.718268408
2024-10-11,873862.5646892869
2024-10-14,874328.9807451937
2024-10-15,886217.9341989773
2024-10-16,922363.8324916348
2024-10-17,936295.8180839032
2024-10-18,943519.8722712685
2024-10-21,943207.471329526
2024-10-22,945421.6226799482
2024-10-23,946338.5512027493
2024-10-24,939278.4740805437
2024-10-25,917194.3141057175
2024-10-28,946660.4606411211
2024-10-29,924470.9584990756
2024-10-30,941997.0306669635
2024-10-31,931574.5254784948
2024-11-01,982734.090633857
2024-11-04,998824.9215208612
2024-11-05,1021597.0804827578
2024-11-06,1049771.3378804293
2024-11-07,1067397.173618009
2024-11-08,1067716.1533112999
2024-11-11,1075173.3517347616
2024-11-12,1061393.0690961587
2024-11-13,1040238.5365791738
2024-11-14,1010417.0156106895
2024-11-15,990271.6296882658
2024-11-18,986031.5644613949
2024-11-19,986242.1257182367
2024-11-20,984271.4451666353
2024-11-21,984613.2434979955
2024-11-22,991986.3078202317
2024-11-25,995595.0153307358
2024-11-26,999341.4947133468
2024-11-27,1008317.6030163075
2024-11-29,1011784.5354494595
2024-12-02,1013075.1653106209
2024-12-03,1000254.4429346824
2024-12-04,1009277.7874146579
2024-12-05,994635.6801871262
2024-12-06,993834.5899779416
2024-12-09,992810.1905249645
2024-12-10,986557.8930572734
2024-12-11,969890.1926053328
2024-12-12,962108.6468662956
2024-12-13,965608.958446903
2024-12-16,945453.9731365062
2024-12-17,925771.0395380463
2024-12-18,891768.5658011073
2024-12-19,886400.0539127241
2024-12-20,894203.9055597901
2024-12-23,890901.2160319457
2024-12-24,891565.6756917364
2024-12-26,911457.9851349003
2024-12-27,890893.1890631629
2024-12-30,867431.8657294132
2024-12-31,861388.9920429902
2025-01-02,853906.54140323
2025-01-03,889131.1851047876
2025-01-06,915969.1776564368
2025-01-07,924096.9183370784
2025-01-08,915236.0563271833
2025-01-10,889586.2649186805
2025-01-13,905483.5176270262
2025-01-14,894099.1796951054
2025-01-15,909557.3117620084
2025-01-16,905552.4968695247
2025-01-17,915529.366048879
2025-01-21,937848.7495261836
2025-01-22,944832.178606404
2025-01-23,947139.6872751707
2025-01-24,949912.1923364035
2025-01-27,938322.2512552473
2025-01-28,933967.4533891559
2025-01-29,933314.6376491553
2025-01-30,947090.0496291689
2025-01-31,921210.619763408
2025-02-03,904289.527430293
