date,equity
2024-03-05,995457.6316631839
2024-03-06,997388.9107179526
2024-03-07,1006911.0300696372
2024-03-08,1007552.095588281
2024-03-11,1010802.0043306302
2024-03-12,979179.2667307383
2024-03-13,988604.4189490452
2024-03-14,962479.3606561746
2024-03-15,981013.173582885
2024-03-18,976927.4549166476
2024-03-19,936679.0516203379
2024-03-20,937161.87138403
2024-03-21,944404.1678394128
2024-03-22,942472.8887846441
2024-03-25,930885.2144560316
2024-03-26,928471.1156375706
2024-03-27,939575.9702024909
2024-03-28,941507.2492572598
2024-04-01,939575.9702024909
2024-04-02,933131.8545037482
2024-04-03,934709.7880546057
2024-04-04,932384.249629835
2024-04-05,930622.0639583403
2024-04-08,928053.89077074
2024-04-09,930493.8844411571
2024-04-10,928549.6579604102
2024-04-11,932671.1645895098
2024-04-12,928403.4712721488
2024-04-15,928312.839290302
2024-04-16,921752.8512074127
2024-04-17,920455.5516497721
2024-04-18,927153.4407949257
2024-04-19,928908.4460707979
2024-04-22,940613.7527193995
2024-04-23,967139.4996938492
2024-04-24,963812.8018373178
2024-04-25,962204.0145012856
2024-04-26,970306.945123763
2024-04-29,996507.5662855663
2024-04-30,998145.995453465
2024-05-01,1056160.6762758454
2024-05-02,1082121.7689410844
2024-05-03,1078797.515279902
2024-05-06,1058075.3770994535
2024-05-07,1042822.7434752384
2024-05-08,1018816.5501192694
2024-05-09,1033366.5924487616
2024-05-10,1035311.9615127238
2024-05-13,1031310.0032659698
2024-05-14,1052940.0789267651
2024-05-15,1079068.9683838896
2024-05-16,1093148.7241134818
2024-05-17,1082570.4030020277
2024-05-20,1085602.8626937156
2024-05-21,1104521.463740436
2024-05-22,1106097.5517489524
2024-05-23,1083541.6528188954
2024-05-24,1056539.1364775598
2024-05-28,1178285.956005453
2024-05-29,1165493.59842519
2024-05-30,1168858.5313647045
2024-05-31,1173402.1393818064
2024-06-03,1178561.3423387052
2024-06-04,1174063.4184486715
2024-06-05,1171041.6358099566
2024-06-06,1157839.321107351
2024-06-07,1152578.1337264532
2024-06-10,1155459.4249275455
2024-06-11,1146678.3786147048
2024-06-12,1150030.0629246961
2024-06-13,1145799.9442682397
2024-06-14,1125905.8169472986
2024-06-17,1111548.326844437
2024-06-18,1106126.255249851
2024-06-20,1100695.4932444573
2024-06-21,1107733.0406133358
2024-06-24,1113666.90789806
2024-06-25,1109288.2045525017
2024-06-26,1101217.2561927363
2024-06-27,1097934.2327312105
2024-06-28,1097882.0132002234
2024-07-01,1098143.5190285766
2024-07-02,1093001.841503233
2024-07-03,1087214.8277665148
2024-07-05,1092214.7198631102
2024-07-08,1096646.5071107787
2024-07-09,1099108.1189355177
2024-07-10,1090610.313295763
2024-07-11,1111452.625874586
2024-07-12,1118136.1410349007
2024-07-15,1113901.9753104476
2024-07-16,1118920.5147762743
2024-07-17,1100329.852299837
2024-07-18,1098793.9476046225
2024-07-19,1078576.0064079084
2024-07-22,1086173.305117511
2024-07-23,1085030.621635078
2024-07-24,1080083.7077322328
2024-07-25,1084395.5990212036
2024-07-26,1097916.7774519047
2024-07-29,1081127.4025607677
2024-07-30,1063468.9403260793
2024-07-31,1077399.9016578756
2024-08-01,1042013.1840883113
2024-08-02,1030558.0300509767
2024-08-05,1020834.6869020875
2024-08-06,1037437.5517616924
2024-08-07,1005177.9731831398
2024-08-08,1005630.3840762554
2024-08-09,1006748.3568114381
2024-08-12,1017802.6741655652
2024-08-13,1028593.0840667092
2024-08-14,1031863.6325961938
2024-08-15,1044269.9675706851
2024-08-16,1048923.022408033
2024-08-19,1060907.129191726
2024-08-20,1037549.6239222587
2024-08-21,1043888.2517678867
2024-08-22,1038917.9068374421
2024-08-23,1068086.3740305328
2024-08-26,1085333.7187344194
2024-08-27,1070571.6512405858
2024-08-28,1063948.5544552226
2024-08-29,1063812.143004833
2024-08-30,1055461.3522711792
2024-09-03,1037313.7825589455
2024-09-04,1031505.3603384887
2024-09-05,1027710.5986051944
2024-09-06,1010174.7484152882
2024-09-09,1024202.8253978107
2024-09-10,1029465.016328995
2024-09-11,1035109.6965369462
2024-09-12,1058248.1019886178
2024-09-13,1079936.5275797606
2024-09-16,1067867.7839270916
2024-09-17,1064775.634706221
2024-09-18,1052898.6249131535
2024-09-19,1053642.193756742
2024-09-20,1044952.184872426
2024-09-23,1028450.9775227032
2024-09-24,1018333.6005029633
2024-09-25,997059.6954537173
2024-09-26,1000112.1974159495
2024-09-27,997858.5737785447
2024-09-30,989963.0832573758
2024-10-01,979380.5495822943
2024-10-02,989624.8846160853
2024-10-03,984539.0183023605
2024-10-04,988963.0768353598
2024-10-07,985893.206634731
2024-10-08,989456.2336914841
2024-10-09,984723.7511542074
2024-10-10,982159.8354061523
2024-10-11,1000943.8581404034
2024-10-14,1004183.1445424652
2024-10-15,1012535.4197499625
2024-10-16,1044943.4869875903
2024-10-17,1046085.0280256403
2024-10-18,1061254.9223173938
2024-10-21,1055980.3391501773
2024-10-22,1044683.5552019932
2024-10-23,1032921.119599206
2024-10-24,1026186.5331864037
2024-10-25,1005996.5495307636
2024-10-28,1009060.4652783035
2024-10-29,1003465.5880820164
2024-10-30,996526.6687865676
2024-10-31,985092.4660296618
2024-11-01,1032701.9413748222
2024-11-04,1050484.1896245033
2024-11-05,1073015.1283010081
2024-11-06,1104056.232695277
2024-11-07,1102643.2089305539
2024-11-08,1098408.8320719355
2024-11-11,1109206.9440893857
2024-11-12,1081589.1997590368
2024-11-13,1053261.8254044224
2024-11-14,1022617.2007124578
2024-11-15,1003675.4853537082
2024-11-18,999345.4308534493
2024-11-19,1000083.8955204509
2024-11-20,999800.7489686611
2024-11-21,1000259.2669660236
2024-11-22,1003783.4912060519
2024-11-25,1009133.4784492012
2024-11-26,1010686.1145337761
2024-11-27,1016536.9287908754
2024-11-29,1019682.0664775525
2024-12-02,1023277.7329178464
2024-12-03,1012247.2903868731
2024-12-04,1016818.3854378103
2024-12-05,1007850.6836352455
2024-12-06,1013760.8718724108
2024-12-09,1012787.8690022785
2024-12-10,1006580.0560646377
2024-12-11,991862.4747855535
2024-12-12,983907.4345637703
2024-12-13,985221.472350905
2024-12-16,972869.4340066848
2024-12-17,963531.8125473023
2024-12-18,934055.2237515437
2024-12-19,930201.9913950805
2024-12-20,942100.0978623382
2024-12-23,942370.2545764396
2024-12-24,942868.0188473312
2024-12-26,962320.4213478855
2024-12-27,940275.5134177117
2024-12-30,913719.2101405826
2024-12-31,911931.0348043668
2025-01-02,904502.143559269
2025-01-03,939393.593186525
2025-01-06,966305.9580133217
2025-01-07,973006.3766388285
2025-01-08,964315.3005194995
2025-01-10,938772.4113383902
2025-01-13,953078.4220536174
2025-01-14,941700.3188598627
2025-01-15,954992.7653509206
2025-01-16,951710.2945855944
2025-01-17,953733.9011448328
2025-01-21,972293.9754218109
2025-01-22,971351.1710254985
2025-01-23,975968.5778403997
2025-01-24,972932.7638589044
2025-01-27,966790.7759492949
2025-01-28,958341.1695158007
2025-01-29,958434.2173830575
2025-01-30,964323.8488665887
2025-01-31,952477.2204959047
2025-02-03,927246.3789739267
2025-02-04,940789.2556623047
2025-02-05,971283.1324786418
2025-02-06,974299.5611222852
2025-02-07,960949.76072142
2025-02-10,948029.701887741
2025-02-11,939171.5340926049
2025-02-12,957977.6663412023
2025-02-13,977127.203718974
2025-02-14,981453.6955023723
2025-02-18,993924.9436375673
2025-02-19,994536.2688853428
2025-02-20,989237.9563755136
2025-02-21,991581.0761496521
2025-02-24,968474.4122415428
2025-02-25,967306.8370607303
2025-02-26,970779.7855965269
2025-02-27,956556.7244788324
2025-02-28,940533.8747461035
2025-03-03,917581.8456897085
2025-03-04,942788.0270317171
2025-03-05,967685.4100135957
2025-03-06,973853.724344857
2025-03-07,984745.9745560203
2025-03-10,969356.2057454858
2025-03-11,986938.6978821546
2025-03-12,994913.2212815171
2025-03-13,978404.2867065603
2025-03-14,990513.2010715123
2025-03-17,1003678.123374604
2025-03-18,973086.4471927207
2025-03-19,983693.2902040847
2025-03-20,984945.9218705436
2025-03-21,973384.5603813808
2025-03-24,978899.804344445
2025-03-25,949617.7736800243
2025-03-26,913536.7302984903
2025-03-27,921429.5063816659
2025-03-28,899544.595772419
2025-03-31,875119.4552859839
2025-04-01,850573.1901248385
2025-04-02,864183.3610545221
2025-04-03,835894.173461616
2025-04-04,808140.020720496
2025-04-07,793515.0236815991
2025-04-08,786058.2751023269
2025-04-09,801013.432642069
2025-04-10,786653.4705675171
2025-04-11,805020.7441504633
2025-04-14,817141.7110721603
2025-04-15,812518.2963065071
2025-04-16,801987.3450877616
2025-04-17,800773.5595694918
2025-04-21,803598.6652547512
2025-04-22,818944.4103050231
2025-04-23,837107.3948326882
2025-04-24,847680.219504267
2025-04-25,842974.592426324
2025-04-28,837953.5272475206
2025-04-29,833173.8631070601
2025-04-30,832397.2325793455
2025-05-01,820813.5549989177
2025-05-02,829522.1948025074
2025-05-05,810161.3372658661
2025-05-06,780823.1928022769
2025-05-07,776084.9778622357
2025-05-08,789061.9451918361
2025-05-09,792526.289525433
2025-05-12,817136.3194198138
2025-05-13,788501.8591169312
2025-05-14,779277.8602316296
2025-05-15,788356.5957256637
2025-05-16,795371.0150539305
2025-05-19,822285.0298057509
2025-05-20,838627.7213157133
2025-05-21,825957.644990825
2025-05-22,840200.8571926523
2025-05-23,841522.4259083796
2025-05-27,844672.9040486258
2025-05-28,843057.457832225
2025-05-29,859953.7808550268
2025-05-30,850051.4357460218
2025-06-02,873439.7559636268
2025-06-03,898055.7925062821
2025-06-04,909525.7218216368
2025-06-05,912605.9492824706
2025-06-06,923694.2801160454
2025-06-09,921958.0336449846
2025-06-10,937323.1548269835
2025-06-11,926318.8199455652
2025-06-12,918655.1909994408
2025-06-13,900060.3406494174
2025-06-16,902132.2548690112
2025-06-17,883872.9425220194
2025-06-18,878064.5620178188
2025-06-20,867287.1753219657
2025-06-23,867369.2885711527
2025-06-24,885309.2775501001
2025-06-25,875747.1851288776
2025-06-26,877247.915893455
2025-06-27,859788.2871041079
2025-06-30,855826.7557491022
2025-07-01,857069.8821845553
2025-07-02,871537.8257537084
2025-07-03,872525.5261449377
2025-07-07,859435.7595060321
2025-07-08,867064.8767434536
2025-07-09,897984.3000874156
2025-07-10,895994.1647484036
2025-07-11,871442.0502718851
2025-07-14,887970.0493242352
2025-07-15,862948.951618738
2025-07-16,890396.0638175649
2025-07-17,905431.5402425921
2025-07-18,876742.378674523
2025-07-21,882848.7359776753
2025-07-22,885739.6816761949
2025-07-23,907816.5308074204
2025-07-24,901247.8896903311
2025-07-25,897049.614636695
2025-07-28,890976.7258746782
2025-07-29,863574.5027819758
2025-07-30,860708.0732802127
2025-07-31,837018.2685443921
2025-08-01,825331.5222716163
2025-08-04,842284.9957336779
2025-08-05,844855.7031100291
2025-08-06,825247.9914166695
2025-08-07,797091.582047695
2025-08-08,799712.7988391125
2025-08-11,798050.8087569242
2025-08-12,821980.1784198076
2025-08-13,842427.0422340166
2025-08-14,838667.7282856641
2025-08-15,848743.2835693535
2025-08-18,854261.41027293
2025-08-19,836365.2145368493
2025-08-20,837007.2833183497
2025-08-21,839103.2404790858
2025-08-22,871344.8805712112
2025-08-25,850410.9621823281
2025-08-26,857561.6274605042
2025-08-27,861849.2061588082
2025-08-28,855307.0469082788
2025-08-29,854441.7526787746
2025-09-02,865040.6329307667
2025-09-03,862211.2000791545
2025-09-04,859107.3003328316
2025-09-05,884711.3420847106
2025-09-08,881948.2775112282
2025-09-09,880062.2218187825
2025-09-10,866306.8730083224
2025-09-11,887236.0057320946
2025-09-12,867153.7215185423
2025-09-15,860274.8163499557
2025-09-16,858898.109144344
2025-09-17,851920.4459894107
2025-09-18,869072.9095247334
2025-09-19,858610.7321811796
2025-09-22,873974.0014427449
2025-09-23,868262.1051001921
2025-09-24,867470.5966815562
2025-09-25,860062.0217914996
2025-09-26,869549.6339652396
2025-09-29,862046.1516009882
2025-09-30,875313.9112629716
2025-10-01,874864.7394665986
2025-10-02,888043.4229844002
2025-10-03,907913.8098777941
2025-10-06,916290.3788004131
2025-10-07,918106.733914325
2025-10-08,948429.5663014847
2025-10-09,958283.3507322146
2025-10-10,922074.3041130657
2025-10-13,927242.8069647148
2025-10-14,941999.1717171583
2025-10-15,982760.2442462085
2025-10-16,959328.6305220545
2025-10-17,938301.6624783226
2025-10-20,968751.4260254088
2025-10-21,953251.0540966733
2025-10-22,935618.4282740451
2025-10-23,931157.5162401053
2025-10-24,937981.7345004927
2025-10-27,948176.9964085157
2025-10-28,944267.799877592
2025-10-29,925206.6272186519
2025-10-30,919535.6735762735
2025-10-31,922537.2476482214
2025-11-03,910119.6797739962
2025-11-04,878775.6686647945
2025-11-05,898260.010079503
2025-11-06,890957.8037185272
2025-11-07,891909.8092388598
2025-11-10,892998.7838790901
2025-11-11,898082.5875094696
2025-11-12,892686.2551827746
2025-11-13,872142.9108872131
2025-11-14,885403.2235553394
2025-11-17,884776.4083856981
2025-11-18,884833.9270510618
2025-11-19,879158.4770913871
2025-11-20,877324.3211453039
2025-11-21,900170.4939503237
2025-11-24,931040.7624603161
2025-11-25,949068.3502076517
2025-11-26,961128.0839880812
2025-11-28,968857.9000847496
2025-12-01,937405.5834179064
2025-12-02,910677.2794613137
2025-12-03,941856.3576168771
2025-12-04,967028.0629915745
2025-12-05,955810.2444151293
2025-12-08,976463.4582260437
2025-12-09,965601.5340224816
2025-12-10,977742.9890173465
2025-12-11,988527.5405851911
2025-12-12,981169.9156880814
2025-12-15,971861.7754480556
2025-12-16,965893.2585580976
2025-12-17,954631.5770169931
2025-12-18,952408.1589085446
2025-12-19,965893.386502497
2025-12-22,978054.433652201
2025-12-23,975409.7145613777
2025-12-24,988893.678182703
2025-12-26,986903.8436130133
2025-12-29,976695.5170182366
2025-12-30,964999.1030726183
2025-12-31,970896.9682838065
2026-01-02,963531.7018785052
2026-01-05,987575.9941412985
2026-01-06,996080.0614808751
2026-01-07,1020379.6089793688
2026-01-08,1015326.4063882714
2026-01-09,1018499.0997084901
2026-01-12,1024952.9300371343
2026-01-13,1029637.961946739
2026-01-14,1040885.690053566
2026-01-15,1026047.1523896133
2026-01-16,1030481.893407434
2026-01-20,1032420.1663517213
2026-01-21,1034137.2521579554
2026-01-22,1035744.405730532
2026-01-23,1032432.5431406992
2026-01-26,1030818.5113355314
2026-01-27,1023262.772572694
2026-01-28,1018526.4925764529
2026-01-29,1016493.322626138
2026-01-30,1010886.0133304681
2026-02-02,1006668.2664848315
2026-02-03,991132.7517029482
2026-02-04,984043.6352815402
2026-02-05,983785.3271961001
2026-02-06,984060.8558205696
2026-02-09,983426.3388848142
2026-02-10,983426.3388848142
2026-02-11,983426.3388848142
2026-02-12,983426.3388848142
2026-02-13,983426.3388848142
2026-02-17,983426.3388848142
2026-02-18,983426.3388848142
2026-02-19,983426.3388848142
2026-02-20,983426.3388848142
2026-02-23,983426.3388848142
2026-02-24,983426.3388848142
2026-02-25,983426.3388848142
2026-02-26,983426.3388848142
2026-02-27,983426.3388848142
2026-03-02,983426.3388848142
2026-03-03,983426.3388848142
2026-03-04,983426.3388848142
2026-03-05,983426.3388848142
2026-03-06,983426.3388848142
2026-03-09,983426.3388848142
2026-03-10,983426.3388848142
2026-03-11,983426.3388848142
2026-03-12,983426.3388848142
2026-03-13,983426.3388848142
2026-03-16,983426.3388848142
2026-03-17,983426.3388848142
2026-03-18,983426.3388848142
2026-03-19,983426.3388848142
