total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days,exposure_pct,ex_top1_ret,ex_top5_ret,top1_pct,top5_pct,top1_ticker,y1_ret,y2_ret,penny_pnl,normal_pnl,label,sizing,max_weight,max_positions
10.7257,4.734,0.401,27.4998,48.1786,1.1265,851,1.3721,38.18,100.0,6.97,-0.18,35.0,101.7,AVTX,1.23,9.97,-43767,83396,iv_w0.010_mp100,iv,0.01,100
13.9813,6.121,0.394,39.7203,48.3213,1.1188,834,1.4186,38.12,100.0,9.29,-0.55,33.5,104.0,AVTX,0.63,14.05,-79805,132605,iv_w0.015_mp200,iv,0.015,200
13.9813,6.121,0.394,39.7203,48.3213,1.1188,834,1.4186,38.12,100.0,9.29,-0.55,33.5,104.0,AVTX,0.63,14.05,-79805,132605,iv_w0.015_mp100,iv,0.015,100
13.9813,6.121,0.394,39.7203,48.3213,1.1188,834,1.4186,38.12,100.0,9.29,-0.55,33.5,104.0,AVTX,0.63,14.05,-79805,132605,iv_w0.015_mp150,iv,0.015,150
8.2123,3.648,0.3938,20.9448,48.1786,1.1269,851,1.3721,38.18,100.0,5.4,0.03,34.3,99.6,AVTX,1.19,7.38,-33102,60321,iv_w0.007_mp100,iv,0.0075,100
10.4192,4.6024,0.3903,27.4998,48.0792,1.1219,859,1.2993,38.22,100.0,6.67,-0.49,36.0,104.7,AVTX,1.23,9.66,-44487,77849,iv_w0.010_mp200,iv,0.01,200
10.4192,4.6024,0.3903,27.4998,48.0792,1.1219,859,1.2993,38.22,100.0,6.67,-0.49,36.0,104.7,AVTX,1.23,9.66,-44487,77849,iv_w0.010_mp150,iv,0.01,150
10.0788,4.4558,0.3894,27.4998,48.0488,1.1223,820,1.318,38.17,100.0,6.32,-0.48,37.2,104.8,AVTX,1.23,9.32,-42304,83180,iv_w0.010_mp75,iv,0.01,75
7.9547,3.5359,0.3814,20.9448,48.0792,1.1219,859,1.2993,38.22,100.0,5.14,-0.23,35.4,102.8,AVTX,1.19,7.12,-33642,55883,iv_w0.007_mp150,iv,0.0075,150
7.9547,3.5359,0.3814,20.9448,48.0792,1.1219,859,1.2993,38.22,100.0,5.14,-0.23,35.4,102.8,AVTX,1.19,7.12,-33642,55883,iv_w0.007_mp200,iv,0.0075,200
2.8408,1.2798,0.3793,7.283,48.1786,1.1279,851,1.3721,38.18,100.0,1.9,0.11,33.0,96.0,AVTX,0.61,2.35,-11426,17817,eq_w0.003_mp100,eq,0.0025,100
2.8342,1.2769,0.3784,7.283,48.1786,1.1276,851,1.3721,38.18,100.0,1.9,0.11,33.1,96.2,AVTX,0.61,2.34,-11426,17817,iv_w0.003_mp100,iv,0.0025,100
7.6061,3.384,0.3783,20.9448,48.0488,1.1209,820,1.318,38.17,100.0,4.79,-0.31,37.0,104.1,AVTX,1.19,6.77,-31754,59629,iv_w0.007_mp75,iv,0.0075,75
2.3355,1.0536,0.3779,6.6878,48.8669,1.1254,706,1.3775,38.24,100.0,1.48,0.12,36.5,94.7,AVTX,0.61,1.84,-10188,10539,eq_w0.003_mp50,eq,0.0025,50
5.4372,2.4327,0.3772,14.2331,48.1786,1.1237,851,1.3721,38.18,100.0,3.56,-0.02,34.5,100.3,AVTX,1.02,4.65,-22934,37758,iv_w0.005_mp100,iv,0.005,100
8.474,3.7617,0.3771,25.2755,48.8669,1.1182,706,1.3775,38.24,100.0,5.07,-0.38,40.2,104.5,AVTX,1.23,7.69,-40933,53235,iv_w0.010_mp50,iv,0.01,50
2.3289,1.0506,0.3769,6.6878,48.8669,1.125,706,1.3775,38.24,100.0,1.48,0.12,36.6,95.0,AVTX,0.61,1.83,-10188,10539,iv_w0.003_mp50,iv,0.0025,50
5.3963,2.4147,0.3744,14.2331,48.1786,1.1223,851,1.3721,38.18,100.0,3.52,-0.06,34.8,101.1,AVTX,1.02,4.61,-23461,36979,eq_w0.005_mp100,eq,0.005,100
9.916,4.3856,0.3727,27.5721,48.1786,1.1136,851,1.3721,38.18,100.0,6.16,-0.99,37.9,110.0,AVTX,1.15,9.23,-48086,77579,eq_w0.010_mp100,eq,0.01,100
6.4807,2.8917,0.3724,19.2437,48.8669,1.1187,706,1.3775,38.24,100.0,3.92,-0.16,39.4,102.4,AVTX,1.19,5.63,-30908,37444,iv_w0.007_mp50,iv,0.0075,50
7.7097,3.4292,0.3711,20.9889,48.1786,1.1172,851,1.3721,38.18,100.0,4.89,-0.47,36.5,106.1,AVTX,1.14,6.92,-35979,57037,eq_w0.007_mp100,eq,0.0075,100
12.6095,5.5392,0.3697,39.7203,48.0888,1.1084,811,1.3222,38.14,100.0,7.92,-1.93,37.2,115.3,AVTX,0.63,12.68,-75439,119913,iv_w0.015_mp75,iv,0.015,75
12.993,5.7023,0.3692,40.2709,48.4108,1.105,818,1.4487,38.05,100.0,8.22,-1.99,36.7,115.3,AVTX,0.44,13.13,-78842,114664,eq_w0.015_mp100,eq,0.015,100
12.993,5.7023,0.3692,40.2709,48.4108,1.105,818,1.4487,38.05,100.0,8.22,-1.99,36.7,115.3,AVTX,0.44,13.13,-78842,114664,eq_w0.015_mp200,eq,0.015,200
12.993,5.7023,0.3692,40.2709,48.4108,1.105,818,1.4487,38.05,100.0,8.22,-1.99,36.7,115.3,AVTX,0.44,13.13,-78842,114664,eq_w0.015_mp150,eq,0.015,150
5.2297,2.3412,0.3622,14.2331,48.0792,1.118,859,1.2993,38.22,100.0,3.35,-0.22,35.9,104.3,AVTX,1.02,4.44,-23294,34442,iv_w0.005_mp150,iv,0.005,150
5.2297,2.3412,0.3622,14.2331,48.0792,1.118,859,1.2993,38.22,100.0,3.35,-0.22,35.9,104.3,AVTX,1.02,4.44,-23294,34442,iv_w0.005_mp200,iv,0.005,200
2.6072,1.1753,0.3617,7.283,48.0488,1.1207,820,1.318,38.17,100.0,1.67,-0.03,36.0,101.3,AVTX,0.61,2.12,-10742,17397,eq_w0.003_mp75,eq,0.0025,75
2.6006,1.1724,0.3608,7.283,48.0488,1.1204,820,1.318,38.17,100.0,1.66,-0.04,36.1,101.5,AVTX,0.61,2.11,-10742,17397,iv_w0.003_mp75,iv,0.0025,75
2.7119,1.2221,0.3603,7.283,48.0792,1.1208,859,1.2993,38.22,100.0,1.77,-0.01,34.6,100.6,AVTX,0.61,2.22,-11606,15907,eq_w0.003_mp150,eq,0.0025,150
2.7119,1.2221,0.3603,7.283,48.0792,1.1208,859,1.2993,38.22,100.0,1.77,-0.01,34.6,100.6,AVTX,0.61,2.22,-11606,15907,eq_w0.003_mp200,eq,0.0025,200
2.7053,1.2192,0.3595,7.283,48.0792,1.1205,859,1.2993,38.22,100.0,1.77,-0.02,34.7,100.8,AVTX,0.61,2.21,-11606,15907,iv_w0.003_mp150,iv,0.0025,150
2.7053,1.2192,0.3595,7.283,48.0792,1.1205,859,1.2993,38.22,100.0,1.77,-0.02,34.7,100.8,AVTX,0.61,2.21,-11606,15907,iv_w0.003_mp200,iv,0.0025,200
4.2958,1.9278,0.3593,13.075,48.8669,1.116,706,1.3775,38.24,100.0,2.59,-0.13,39.7,103.0,AVTX,1.02,3.5,-21548,22423,eq_w0.005_mp50,eq,0.005,50
4.9606,2.2223,0.3578,14.2331,48.0488,1.1161,820,1.318,38.17,100.0,3.08,-0.32,37.8,106.5,AVTX,1.02,4.17,-21918,36917,iv_w0.005_mp75,iv,0.005,75
5.1385,2.3009,0.3563,14.2331,48.0792,1.1153,859,1.2993,38.22,100.0,3.26,-0.32,36.5,106.1,AVTX,1.02,4.35,-23821,33159,eq_w0.005_mp150,eq,0.005,150
5.1385,2.3009,0.3563,14.2331,48.0792,1.1153,859,1.2993,38.22,100.0,3.26,-0.32,36.5,106.1,AVTX,1.02,4.35,-23821,33159,eq_w0.005_mp200,eq,0.005,200
9.4003,4.163,0.3562,27.5721,48.0792,1.1066,859,1.2993,38.22,100.0,5.65,-1.51,39.9,116.0,AVTX,1.15,8.72,-48806,69938,eq_w0.010_mp150,eq,0.01,150
9.4003,4.163,0.3562,27.5721,48.0792,1.1066,859,1.2993,38.22,100.0,5.65,-1.51,39.9,116.0,AVTX,1.15,8.72,-48806,69938,eq_w0.010_mp200,eq,0.01,200
4.2511,1.908,0.356,13.075,48.8669,1.1149,706,1.3775,38.24,100.0,2.55,-0.17,40.1,104.1,AVTX,1.02,3.45,-21346,22414,iv_w0.005_mp50,iv,0.005,50
7.3229,3.2604,0.3537,20.9889,48.0792,1.1102,859,1.2993,38.22,100.0,4.51,-0.86,38.4,111.7,AVTX,1.14,6.53,-36519,51307,eq_w0.007_mp150,eq,0.0075,150
7.3229,3.2604,0.3537,20.9889,48.0792,1.1102,859,1.2993,38.22,100.0,4.51,-0.86,38.4,111.7,AVTX,1.14,6.53,-36519,51307,eq_w0.007_mp200,eq,0.0075,200
4.894,2.1928,0.3532,14.2331,48.0488,1.114,820,1.318,38.17,100.0,3.02,-0.39,38.4,107.9,AVTX,1.02,4.1,-22445,36138,eq_w0.005_mp75,eq,0.005,75
6.0938,2.7219,0.3514,19.2878,48.8669,1.1104,706,1.3775,38.24,100.0,3.54,-0.54,41.9,108.9,AVTX,1.14,5.29,-33392,35983,eq_w0.007_mp50,eq,0.0075,50
7.8475,3.4892,0.3511,25.3478,48.8669,1.1072,706,1.3775,38.24,100.0,4.44,-1.0,43.4,112.8,AVTX,1.15,7.14,-45063,50112,eq_w0.010_mp50,eq,0.01,50
8.9366,3.9624,0.3504,27.5721,48.0488,1.1052,820,1.318,38.17,100.0,5.18,-1.62,42.0,118.2,AVTX,1.15,8.25,-46623,75897,eq_w0.010_mp75,eq,0.01,75
6.9407,3.0933,0.3481,20.9889,48.0488,1.1084,820,1.318,38.17,100.0,4.13,-0.98,40.6,114.1,AVTX,1.14,6.15,-34631,55776,eq_w0.007_mp75,eq,0.0075,75
12.6356,5.5504,0.3472,46.9203,48.3871,1.0923,775,1.4941,38.11,100.0,7.77,-3.45,38.5,127.3,AVTX,-0.16,13.51,-109260,146782,iv_w0.020_mp75,iv,0.02,75
12.3846,5.4435,0.3428,46.9203,48.5313,1.0904,783,1.5818,38.11,100.0,7.52,-3.7,39.3,129.9,AVTX,-0.16,13.8,-107191,142358,iv_w0.020_mp150,iv,0.02,150
12.3846,5.4435,0.3428,46.9203,48.5313,1.0904,783,1.5818,38.11,100.0,7.52,-3.7,39.3,129.9,AVTX,-0.16,13.8,-107191,142358,iv_w0.020_mp100,iv,0.02,100
12.3846,5.4435,0.3428,46.9203,48.5313,1.0904,783,1.5818,38.11,100.0,7.52,-3.7,39.3,129.9,AVTX,-0.16,13.8,-107191,142358,iv_w0.020_mp200,iv,0.02,200
10.5092,4.6411,0.3421,37.0322,48.8669,1.0974,706,1.3775,38.24,100.0,6.26,-1.91,40.5,118.2,AVTX,0.44,10.74,-70769,77851,eq_w0.015_mp50,eq,0.015,50
11.408,5.0266,0.3392,40.2709,48.0149,1.0924,806,1.2728,38.14,100.0,6.64,-3.58,41.8,131.3,AVTX,0.44,11.67,-80041,107356,eq_w0.015_mp75,eq,0.015,75
10.0398,4.439,0.3381,36.4834,48.8669,1.0974,706,1.3775,38.24,100.0,5.79,-2.24,42.4,122.3,AVTX,0.63,10.08,-65579,74991,iv_w0.015_mp50,iv,0.015,50
9.6144,4.2555,0.2933,46.6471,49.1322,1.0679,749,1.7114,38.15,100.0,5.19,-6.77,46.0,170.5,AVTX,-1.16,11.69,-110693,107456,eq_w0.020_mp75,eq,0.02,75
9.4029,4.1642,0.2897,46.6471,48.9333,1.0664,750,1.6733,38.17,100.0,4.98,-6.99,47.1,174.3,AVTX,-1.16,11.48,-111760,106408,eq_w0.020_mp200,eq,0.02,200
9.4029,4.1642,0.2897,46.6471,48.9333,1.0664,750,1.6733,38.17,100.0,4.98,-6.99,47.1,174.3,AVTX,-1.16,11.48,-111760,106408,eq_w0.020_mp150,eq,0.02,150
9.4029,4.1642,0.2897,46.6471,48.9333,1.0664,750,1.6733,38.17,100.0,4.98,-6.99,47.1,174.3,AVTX,-1.16,11.48,-111760,106408,eq_w0.020_mp100,eq,0.02,100
8.5963,3.8148,0.2787,46.2782,48.1375,1.0669,698,1.3534,38.39,100.0,4.17,-6.88,51.5,180.0,AVTX,-0.16,9.68,-92118,83870,iv_w0.020_mp50,iv,0.02,50
3.6553,1.6432,0.1958,51.6026,49.711,1.022,692,1.7886,38.2,100.0,-2.2,-16.32,160.2,546.5,NKTR,-3.5,8.32,-129527,69133,eq_w0.030_mp200,eq,0.03,200
3.6553,1.6432,0.1958,51.6026,49.711,1.022,692,1.7886,38.2,100.0,-2.2,-16.32,160.2,546.5,NKTR,-3.5,8.32,-129527,69133,eq_w0.030_mp100,eq,0.03,100
3.6553,1.6432,0.1958,51.6026,49.711,1.022,692,1.7886,38.2,100.0,-2.2,-16.32,160.2,546.5,NKTR,-3.5,8.32,-129527,69133,eq_w0.030_mp75,eq,0.03,75
3.6553,1.6432,0.1958,51.6026,49.711,1.022,692,1.7886,38.2,100.0,-2.2,-16.32,160.2,546.5,NKTR,-3.5,8.32,-129527,69133,eq_w0.030_mp150,eq,0.03,150
3.566,1.6034,0.1905,49.8476,48.3871,1.0227,713,1.1708,38.22,100.0,-1.96,-14.89,154.9,517.5,NKTR,0.86,3.87,-122857,63604,iv_w0.030_mp150,iv,0.03,150
3.566,1.6034,0.1905,49.8476,48.3871,1.0227,713,1.1708,38.22,100.0,-1.96,-14.89,154.9,517.5,NKTR,0.86,3.87,-122857,63604,iv_w0.030_mp100,iv,0.03,100
3.566,1.6034,0.1905,49.8476,48.3871,1.0227,713,1.1708,38.22,100.0,-1.96,-14.89,154.9,517.5,NKTR,0.86,3.87,-122857,63604,iv_w0.030_mp75,iv,0.03,75
3.566,1.6034,0.1905,49.8476,48.3871,1.0227,713,1.1708,38.22,100.0,-1.96,-14.89,154.9,517.5,NKTR,0.86,3.87,-122857,63604,iv_w0.030_mp200,iv,0.03,200
3.5474,1.5951,0.1891,49.8476,48.3533,1.0232,668,1.169,38.36,100.0,-1.98,-14.98,155.7,522.2,NKTR,0.86,3.86,-123798,67205,iv_w0.030_mp50,iv,0.03,50
2.9221,1.3161,0.1727,46.6471,48.2709,1.0215,694,1.0926,38.41,100.0,-1.5,-12.12,151.5,514.7,AVTX,-1.16,5.0,-111089,47101,eq_w0.020_mp50,eq,0.02,50
2.2171,1.0005,0.171,51.6026,49.3023,1.0138,645,1.5652,38.36,100.0,-3.71,-18.1,267.6,916.4,NKTR,-3.5,6.89,-129726,58169,eq_w0.030_mp50,eq,0.03,50
