total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days,exposure_pct,ex_top1_ret,ex_top5_ret,top1_pct,top5_pct,top1_ticker,y1_ret,y2_ret,penny_pnl,normal_pnl,label,tp,tp_exits,hor_exits
8.2123,3.648,0.3938,20.9448,48.1786,1.1269,851,1.3721,38.18,100.0,5.4,0.03,34.3,99.6,AVTX,1.19,7.38,-33102,60321,TP=35%,0.35,225,626
7.2526,3.2297,0.3476,21.0018,46.8787,1.109,849,1.1939,39.35,100.0,4.36,-1.23,39.8,116.9,AVTX,1.64,5.85,-28907,53409,TP=40%,0.4,185,664
7.7608,3.4515,0.339,22.9063,44.6682,1.1121,844,1.2972,42.47,100.0,4.95,-1.69,36.2,121.8,AVTX,1.21,6.75,-43331,24662,TP=75%,0.75,72,772
7.5427,3.3479,0.3248,23.212,44.1281,1.1081,843,1.2931,43.01,100.0,4.73,-2.12,37.3,128.1,AVTX,1.59,6.27,-32863,8579,TP=100%,1.0,42,801
6.9125,3.0732,0.2926,24.3059,43.6234,1.0995,839,1.1135,43.78,100.0,2.66,-6.55,61.5,194.7,AVTX,3.36,3.87,-19898,-24053,TP=none,5.0,2,837
6.0309,2.6942,0.2882,23.1652,45.9811,1.0892,846,1.0205,40.76,100.0,3.22,-2.2,46.6,136.5,AVTX,0.11,5.93,-20344,18508,TP=50%,0.5,126,720
4.4835,2.0111,0.2468,20.3722,49.2415,1.0699,857,0.7443,36.66,100.0,2.92,-1.66,34.8,137.0,OLMA,-0.22,5.16,-39270,53756,TP=30%,0.3,263,594
3.8725,1.7398,0.2263,18.8852,51.5716,1.0627,859,0.5833,34.93,100.0,2.39,-1.94,38.4,150.2,OLMA,-1.25,5.7,-42280,48493,TP=25%,0.25,317,542
2.0527,0.9267,0.1472,18.7136,54.9476,1.0352,859,0.3695,32.11,100.0,0.64,-3.05,68.8,248.7,OLMA,-2.21,4.73,-43818,44764,TP=20%,0.2,390,469
-1.2976,-0.5912,-0.0345,17.2235,60.1863,0.9759,859,-0.1284,28.36,100.0,-2.64,-6.21,-103.1,-378.7,OLMA,-2.66,2.0,-52374,34224,TP=15%,0.15,477,382
