date,equity
2024-05-23,998199.1530649046
2024-05-24,997048.9978566476
2024-05-28,997017.1338455731
2024-05-29,995707.658581943
2024-05-30,996180.8157875722
2024-05-31,998720.5825682137
2024-06-03,999057.9600115487
2024-06-04,999704.3585284067
2024-06-05,1000523.461928587
2024-06-06,1000327.4851242197
2024-06-07,1000833.5375092494
2024-06-10,1001097.0966174791
2024-06-11,998699.3996588499
2024-06-12,1001319.2518278747
2024-06-13,999863.2869013923
2024-06-14,999517.3250296371
2024-06-17,998245.9609320231
2024-06-18,998470.3222320339
2024-06-20,998889.1094099394
2024-06-21,1000640.9477200942
2024-06-24,1001702.1667345891
2024-06-25,1003064.1075564533
2024-06-26,1000862.3335856168
2024-06-27,1001162.4341480818
2024-06-28,1000600.849383139
2024-07-01,1000753.0792237865
2024-07-02,998873.2222064098
2024-07-03,997335.5114627194
2024-07-05,998523.0331558619
2024-07-08,998984.2172605566
2024-07-09,996935.8890872311
2024-07-10,998109.0159213362
2024-07-11,999636.4958276838
2024-07-12,1002173.0634897547
2024-07-15,999992.0362698429
2024-07-16,999976.2831463802
2024-07-17,998250.5675564763
2024-07-18,994810.5680379448
2024-07-19,995651.1875339231
2024-07-22,998295.7162336719
2024-07-23,998092.274448297
2024-07-24,997758.7541828785
2024-07-25,997213.0566214654
2024-07-26,997006.4883194024
2024-07-29,998621.662015731
2024-07-30,998566.5383203384
2024-07-31,999031.0726258034
2024-08-01,998271.5437838905
2024-08-02,993314.6388545742
2024-08-05,990237.2331784854
2024-08-06,987348.5858576309
2024-08-07,981666.470448889
2024-08-08,986331.1296959602
2024-08-09,989096.4943879865
2024-08-12,987093.0963692685
2024-08-13,987093.0963692685
2024-08-14,987093.0963692685
2024-08-15,987093.0963692685
2024-08-16,988354.0120489233
2024-08-19,990490.0915181005
2024-08-20,989929.7783411624
2024-08-21,990735.2514365907
2024-08-22,988804.866688955
2024-08-23,996386.2912631911
2024-08-26,1001012.3003967666
2024-08-27,994968.6226281534
2024-08-28,994609.1195372283
2024-08-29,992313.0214159752
2024-08-30,987352.7006729832
2024-09-03,979606.5345331194
2024-09-04,982354.2406541413
2024-09-05,981451.8069471698
2024-09-06,974291.1902539702
2024-09-09,980358.3296696525
2024-09-10,979595.5176989873
2024-09-11,981342.5856353379
2024-09-12,985254.8117912767
2024-09-13,993784.4581838032
2024-09-16,993556.3555570514
2024-09-17,990143.4633789388
2024-09-18,985352.801487806
2024-09-19,988719.890351909
2024-09-20,983441.6350728171
2024-09-23,981279.7661958704
2024-09-24,978181.6958865441
2024-09-25,969334.7854746425
2024-09-26,970923.3627373755
2024-09-27,973376.6235734841
2024-09-30,969608.7686778316
2024-10-01,967708.2323081795
2024-10-02,974769.6842449601
2024-10-03,965265.9763555087
2024-10-04,974059.5928486446
2024-10-07,969191.817607716
2024-10-08,974812.358838201
2024-10-09,975949.8364280725
2024-10-10,977186.0333957663
2024-10-11,990654.3157761414
2024-10-14,998617.8594512744
2024-10-15,1002316.0835395748
2024-10-16,1013174.8798391091
2024-10-17,1010124.0965152066
2024-10-18,1013529.6529537524
2024-10-21,1008468.3731598173
2024-10-22,1002225.159610064
2024-10-23,1000381.4876608136
2024-10-24,996559.9273702481
2024-10-25,998369.7621472225
2024-10-28,1008373.4980339594
2024-10-29,1007999.9507893276
2024-10-30,1002153.1195404353
2024-10-31,999869.870009528
2024-11-01,1034147.7854855594
2024-11-04,1034514.5858304985
2024-11-05,1040497.198467189
2024-11-06,1052672.4322987562
2024-11-07,1049764.7050866545
2024-11-08,1052091.5419816845
2024-11-11,1047863.4203990868
2024-11-12,1036143.8019791526
2024-11-13,1027690.1521544837
2024-11-14,1025041.2810461163
2024-11-15,1020808.6318927679
2024-11-18,1025194.4969352604
2024-11-19,1028909.5886777305
2024-11-20,1023821.6885663935
2024-11-21,1023663.4664570541
2024-11-22,1027656.5335751488
2024-11-25,1034982.5095258544
2024-11-26,1045397.954845919
2024-11-27,1051106.15969519
2024-11-29,1051346.8120261133
2024-12-02,1043514.9510755512
2024-12-03,1037104.1420434586
2024-12-04,1040151.6774493246
2024-12-05,1037495.2655334291
2024-12-06,1045198.1074070105
2024-12-09,1047495.8588140646
2024-12-10,1044423.4644606953
2024-12-11,1043295.5492880594
2024-12-12,1034408.6998904041
2024-12-13,1031982.2107861644
2024-12-16,1015042.8432699987
2024-12-17,1011767.2558910681
2024-12-18,1001073.7777962603
2024-12-19,997513.782519214
2024-12-20,997067.5040141771
2024-12-23,994397.2256942044
2024-12-24,992261.6021575594
2024-12-26,1002276.9035346614
2024-12-27,1003515.3976833841
2024-12-30,1000138.0969236679
2024-12-31,996329.5495373574
2025-01-02,1011976.6877402109
2025-01-03,1022366.2965712715
2025-01-06,1014867.3794753926
2025-01-07,1008164.1415707872
2025-01-08,999798.754606039
2025-01-10,991998.7614674035
2025-01-13,977610.8769134355
2025-01-14,970663.6004318862
2025-01-15,982649.9785129607
2025-01-16,984342.9127156663
2025-01-17,984877.1284555511
2025-01-21,986017.1071621912
2025-01-22,986905.8652578947
2025-01-23,995281.5064432838
2025-01-24,997683.2859910657
2025-01-27,991910.4407069909
2025-01-28,991281.9510351603
2025-01-29,991905.123468095
2025-01-30,995972.9377190223
2025-01-31,993602.1079961536
2025-02-03,1005037.9868551976
2025-02-04,1009624.5102628089
2025-02-05,1015431.358002815
2025-02-06,1013293.8388491005
2025-02-07,1010635.6572367338
2025-02-10,1006143.4094519427
2025-02-11,996327.8905171626
2025-02-12,997848.6924399649
2025-02-13,996924.9425022352
2025-02-14,998362.3895906907
2025-02-18,999233.3209202149
2025-02-19,999414.8170888398
2025-02-20,999688.733982887
2025-02-21,999442.2511009129
2025-02-24,996360.6628576027
2025-02-25,999446.0710900557
2025-02-26,997046.7294733461
2025-02-27,994157.2193908828
2025-02-28,998361.1073217822
2025-03-03,989958.0970570066
2025-03-04,991126.251514965
2025-03-05,1006675.9430637985
2025-03-06,1012152.5411425278
2025-03-07,1015798.0000841134
2025-03-10,1001759.7394039419
2025-03-11,1011114.9111849854
2025-03-12,1007675.5638822832
2025-03-13,1003476.3717626081
2025-03-14,1002164.8105967843
2025-03-17,1008434.5051906514
2025-03-18,1004978.4071743132
2025-03-19,1006057.5742418739
2025-03-20,1006463.3895945532
2025-03-21,1008452.8679774564
2025-03-24,1011473.9580410576
2025-03-25,1006358.096512176
2025-03-26,1001979.9096863304
2025-03-27,999094.8691695046
2025-03-28,994551.515209934
2025-03-31,990378.456907267
2025-04-01,985716.5603488605
2025-04-02,989417.8374193307
2025-04-03,965181.517109249
2025-04-04,948381.5359618736
2025-04-07,951475.6449683352
2025-04-08,932095.999433646
2025-04-09,955375.7942775856
2025-04-10,942211.975402061
2025-04-11,969153.1479455954
2025-04-14,975164.3178284744
2025-04-15,974243.6831539667
2025-04-16,961562.6362932709
2025-04-17,956230.4787340388
2025-04-21,964905.2479278443
2025-04-22,988686.2036358042
2025-04-23,988203.8455968284
2025-04-24,990970.464219626
2025-04-25,982499.6649830547
2025-04-28,983908.2390278727
2025-04-29,984751.158288189
2025-04-30,989852.7284049387
2025-05-01,997370.8272171558
2025-05-02,1010057.9987866934
2025-05-05,988442.1578513581
2025-05-06,953815.1426348295
2025-05-07,953713.009616446
2025-05-08,969972.3651358752
2025-05-09,961881.1068272481
2025-05-12,994628.8056717799
2025-05-13,990459.1045001148
2025-05-14,972310.7251582803
2025-05-15,988756.4683015682
2025-05-16,1005166.756185059
2025-05-19,1024847.9010977919
