ticker,trades,total_pnl,avg_return_pct,win_rate,avg_hold_days,pct_of_total_pnl
OLMA,1,104334.34712735284,149.04906732478977,100.0,36.0,14.3
VIR,4,77979.86811040819,29.61051948051951,100.0,51.5,10.69
MLTX,3,48484.5583831492,29.61051948051951,100.0,13.0,6.65
KOD,3,45912.19956095073,28.78883116883118,100.0,34.666666666666664,6.29
RAPT,1,42583.32495053347,60.83332135790496,100.0,21.0,5.84
OCUL,2,41454.72727272728,29.610519480519486,100.0,34.0,5.68
DAWN,2,41128.260506385705,29.61051948051951,100.0,48.5,5.64
CRBU,2,38003.6363636364,27.145454545454566,100.0,8.0,5.21
ATYR,2,38003.63636363637,27.145454545454548,100.0,16.0,5.21
SAVA,3,37340.40669652214,17.781146045962924,66.66666666666666,31.666666666666668,5.12
ORKA,2,32932.72063104862,29.6105194805195,100.0,45.5,4.51
ANNX,2,32548.03213138078,28.377987012987028,100.0,33.5,4.46
QTTB,1,28028.260399394407,40.04037199913487,100.0,28.0,3.84
ACTU,2,23202.56102321895,29.6105194805195,100.0,47.5,3.18
TNDM,1,20727.363636363676,29.610519480519535,100.0,43.0,2.84
ABEO,1,20727.36363636366,29.610519480519514,100.0,46.0,2.84
URGN,1,20727.36363636366,29.610519480519514,100.0,21.0,2.84
SPRY,1,20727.363636363647,29.6105194805195,100.0,73.0,2.84
RGNX,1,20727.363636363647,29.6105194805195,100.0,19.0,2.84
AUPH,1,20727.363636363632,29.610519480519475,100.0,42.0,2.84
AGEN,1,19001.81818181819,27.145454545454555,100.0,11.0,2.6
IOVA,1,19001.81818181819,27.145454545454555,100.0,33.0,2.6
SRPT,1,18167.41935533401,30.844395383848333,100.0,33.0,2.49
AVIR,1,18136.81290840001,27.145454545454566,100.0,46.0,2.49
PBYI,1,17962.962187318037,29.610519480519486,100.0,75.0,2.46
XNCR,1,17529.615033795693,25.042307191136704,100.0,73.0,2.4
EDIT,1,16277.272727272735,23.253246753246763,100.0,19.0,2.23
LYEL,1,16006.044649889176,29.610519480519486,100.0,23.0,2.19
TNGX,1,14706.517188097423,29.610519480519486,100.0,7.0,2.02
BHVN,2,14677.786700331206,15.610278149144051,100.0,60.0,2.01
PEPG,1,12273.299778035362,29.610519480519514,100.0,52.0,1.68
KURA,1,11232.053352829782,16.045790504042547,100.0,74.0,1.54
MNPR,1,10126.825792331161,29.61051948051946,100.0,52.0,1.39
HOTH,1,9885.631864285722,23.25324675324677,100.0,60.0,1.36
NXTC,1,9158.465175585992,29.610519480519503,100.0,14.0,1.26
NUVB,2,7691.008806182184,-1.05268171713338,50.0,54.5,1.05
PASG,1,7502.197373840529,29.610519480519514,100.0,3.0,1.03
CELZ,1,7313.964637848956,27.145454545454545,100.0,52.0,1.0
AEON,2,7115.488531086424,29.610519480519503,100.0,23.0,0.98
TLSA,1,6224.021821739203,23.529149422006586,100.0,50.0,0.85
IVVD,1,5483.008596576074,23.253246753246763,100.0,75.0,0.75
PYXS,1,5468.197170388801,23.253246753246763,100.0,30.0,0.75
STRO,1,4752.985978442197,29.610519480519486,100.0,11.0,0.65
ENTA,1,4681.271649943359,6.687530928490514,100.0,72.0,0.64
SIBN,1,4192.555930768853,5.9893656153840755,100.0,70.0,0.57
TSHA,1,3906.4088668518234,5.580584095502605,100.0,74.0,0.54
DRTS,1,3244.601513639742,30.664955282449963,100.0,12.0,0.44
MIST,1,3122.0013196636373,27.14545454545455,100.0,73.0,0.43
BOLT,1,2715.646943721529,29.6105194805195,100.0,22.0,0.37
ZLAB,1,2482.5507521080144,3.5465010744400205,100.0,73.0,0.34
VTYX,1,2283.6439578521095,3.2623485112172994,100.0,73.0,0.31
ATRC,1,2251.987445516206,3.2171249221660094,100.0,71.0,0.31
VRCA,1,2144.236337231365,29.610519480519493,100.0,17.0,0.29
ELUT,1,1120.0893588999998,27.14545454545454,100.0,54.0,0.15
MBRX,1,906.5445604707797,29.6105194805195,100.0,20.0,0.12
KMDA,1,-281.9599373824203,-1.6653130475748217,0.0,70.0,-0.04
ATXS,1,-570.2483668008499,-1.4243875676978979,0.0,76.0,-0.08
XBIT,1,-1726.149245923294,-6.898617613775053,0.0,76.0,-0.24
ACIU,1,-2548.53046900544,-6.853146853146836,0.0,76.0,-0.35
GLSI,1,-2595.774024431921,-5.14209637943045,0.0,71.0,-0.36
TLPH,1,-4225.057398112091,-18.81000152308675,0.0,74.0,-0.58
ALDX,1,-4677.8685693677035,-6.682669384811005,0.0,77.0,-0.64
PTN,1,-5947.76712933282,-23.866600847944312,0.0,76.0,-0.82
NVCR,1,-5962.352936806259,-8.51764705258037,0.0,75.0,-0.82
STTK,1,-6638.883071074462,-50.788996717568146,0.0,71.0,-0.91
EYPT,1,-6998.16770906817,-9.997382441525957,0.0,71.0,-0.96
PVLA,1,-7160.710404570695,-13.833978501542754,0.0,73.0,-0.98
KTTA,1,-7276.635305033638,-45.03757112452764,0.0,76.0,-1.0
GANX,1,-7693.342763835022,-24.912230626516337,0.0,75.0,-1.05
BNTC,1,-9807.746499401619,-14.011066427716598,0.0,74.0,-1.34
KPTI,2,-10965.731232666909,-9.402272666849285,50.0,74.0,-1.5
AMLX,1,-11873.29091868575,-16.96184416955107,0.0,77.0,-1.63
INMD,1,-13747.749185360546,-19.63964169337221,0.0,72.0,-1.88
RXRX,1,-18282.687955486464,-34.08407731789345,0.0,74.0,-2.51
JSPR,1,-22597.372953456048,-32.28196136208007,0.0,71.0,-3.1
BIAF,1,-24488.740058163276,-69.65701328544239,0.0,72.0,-3.36
OGN,3,-25578.71618601338,-12.180341040958751,0.0,74.0,-3.51
LRMR,1,-34025.54771367061,-48.607925305243725,0.0,74.0,-4.66
NVO,7,-36824.925132215125,-7.5152908433092085,28.57142857142857,70.85714285714286,-5.05
GNPX,1,-63078.91670333499,-90.11273814762141,0.0,74.0,-8.65
