ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
SLNO,SOLENO THERAPEUTICS INC,NASDAQ,1991152490.88,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001484565,,,60,sec_fallback,51624384.0,38.57,,,US,USD
STOK,"Stoke Therapeutics, Inc.",NASDAQ,1979109247.5,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001623526,,,60,sec_fallback,57117150.0,34.65,,,US,USD
AUPH,Aurinia Pharmaceuticals Inc.,NASDAQ,1959992230.46,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001600620,,,60,sec_fallback,132970979.0,14.74,,,US,USD
CLDX,"Celldex Therapeutics, Inc.",NASDAQ,1954387918.56,small,,In Vitro & In Vivo Diagnostic Substances,2835,In Vitro & In Vivo Diagnostic Substances,0000744218,,,60,sec_fallback,66566346.0,29.36,,,US,USD
STRO,"SUTRO BIOPHARMA, INC.",NASDAQ,1915544025.0,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001382101,,,60,sec_fallback,85135290.0,22.5,,,US,USD
SNDX,Syndax Pharmaceuticals Inc,NASDAQ,1903368861.6799998,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001395937,,,60,sec_fallback,88200596.0,21.58,,,US,USD
ATEC,"Alphatec Holdings, Inc.",NASDAQ,1902552713.4,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001350653,,,60,sec_fallback,151356620.0,12.57,,,US,USD
IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",NASDAQ,1886784160.06,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001425205,,,60,sec_fallback,411961607.0,4.58,,,US,USD
TYRA,"Tyra Biosciences, Inc.",NASDAQ,1860570152.1,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001863127,,,60,sec_fallback,53867115.0,34.54,,,US,USD
ANIP,ANI PHARMACEUTICALS INC,NASDAQ,1846321343.9999998,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001023024,,,60,sec_fallback,24422240.0,75.6,,,US,USD
